word,type,cefr,definition,example,Synonyms,Antonyms,Rhymes,Related
annoying,adjective,b1,making somebody feel slightly angry,This interruption is very annoying.,"plaguy, pesky, annoyance, nettlesome, vexing",,"cloying, enjoying, destroying, deploying, employing","irritating, roommate, frustrating, antics, neighbor"
annual,adjective,b2,happening or done once every year,an annual meeting/event/report/conference,"yearly, yearbook, one-year, biennial, quarterly","perennial, biennial, scouring, two-year","manual, emmanuel, emanuel, faneuil, instruction manual","precipitation, rainfall, herb, gala, salary"
another,determiner,a1,one more; an extra thing or person,Would you like another drink?,"added, additional, different, other, some other",,"other, rather, mother, brother, smother",
another,pronoun,a1,one more; an extra thing or person,Would you like another drink?,"added, additional, different, other, some other",,"other, rather, mother, brother, smother",
answer,noun,a1,"something that you say, write or do to react to a question or situation","I rang the bell, but there was no answer.","response, respond, reply, resolve, result","question, query, inquiry, enquiry","cancer, necromancer, dancer, freelancer, chancer","questions, question, answers, contestant, correctly"
answer,verb,a1,"to say, write or do something as a reaction to a question or situation","I repeated the question, but she didn't answer.","response, respond, reply, resolve, result","question, query, inquiry, enquiry","cancer, necromancer, dancer, freelancer, chancer","questions, question, answers, contestant, correctly"
anxious,adjective,b2,feeling worried or nervous,The bus was late and Sue began to get anxious.,"troubled, apprehensive, unquiet, uneasy, eager",,,"anxiety, attachment, fearful, depressed, worried"
any,adverb,a2,"used to emphasize an adjective or adverb in negative sentences or questions, meaning ‘at all’",He wasn't any good at French.,"whatsoever, whatever, some, immoderate, aught",,"many, penny, plenty, jenny, twenty","households, race, living, kind, sort"
any,determiner,a1,"used with uncountable or plural nouns in negative sentences and questions, after if or whether, and after some verbs such as prevent, ban, forbid, etc. to refer to an amount or a number of something, however large or small",I didn't eat any meat.,"whatsoever, whatever, some, immoderate, aught",,"many, penny, plenty, jenny, twenty","households, race, living, kind, sort"
any,pronoun,a1,"used in negative sentences and in questions and after if or whether to refer to an amount or a number, however large or small",We need some more paint; there isn't any left.,"whatsoever, whatever, some, immoderate, aught",,"many, penny, plenty, jenny, twenty","households, race, living, kind, sort"
any more,adverb,a2,"often used at the end of negative sentences and at the end of questions, to mean ‘any longer’",She doesn't live here any more.,"once more, as much, as in, all the same, ever so",,,
anybody,pronoun,a2,"used instead of somebody in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.",Is there anybody who can help me?,"anyone, anything, candidate, capita, employee",,,"psychopathic, else, somebody, everybody, wanna"
anyone,pronoun,a1,"used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.",Is anyone there?,"all, allen, anybody, anything, candidate",,"run, one, gun, fun, than","else, knows, interested, listen, anything"
anything,pronoun,a1,"used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc.",Would you like anything else?,"mind, just, alright, thing, that",,"ring, cling, bring, spring, fling","else, happen, wrong, happens, goes"
anyway,adverb,a2,used when adding something to support an idea or argument,It's too expensive and anyway the colour doesn't suit you.,"anyhow, in any case, at any rate, in any event, nevertheless",,"day, away, way, lay, play","asks, want, tells, telling, really"
anywhere,adverb,a2,used in negative sentences and in questions instead of somewhere,I can't see it anywhere.,"anyplace, someplace, somewhere, wherever, elsewhere",,"bear, care, air, flare, tear","anytime, else, everywhere, depending, inches"
anywhere,pronoun,a2,used in negative sentences and in questions instead of somewhere,I don't have anywhere to stay.,"anyplace, someplace, somewhere, wherever, elsewhere",,"bear, care, air, flare, tear","anytime, else, everywhere, depending, inches"
apart,adverb,b1,"separated by a distance, of space or time",The two houses stood 500 metres apart.,"separated, separate, aside, divided, asunder",,"art, smart, heart, start, part",settlements
apartment,noun,a1,"a set of rooms for living in, usually on one floor of a building",an apartment building,"flat, casa, condo, accommodation, hostel",,"department, compartment, academic department, commerce department, philosophy department","chf, condominium, blocks, bedroom, rue"
apologize,verb,b1,to say that you are sorry for doing something wrong or causing a problem,Why should I apologize?,"excuse, justify, rationalize, apologise, apology",,"arise, analyze, rise, advise, compromise","inconvenience, apology, offended, apologizes, forgive"
app,noun,a2,"a piece of software that you can download to a device such as a smartphone or tablet, for example to look up information or to play a game",You first need to install the app on your device.,"pap, pakistani, bcp, apa, appx",,"cap, snap, shap, tap, trap","ios, apps, ipad, iphone, android"
apparent,adjective,b2,easy to see or understand,Their devotion was apparent.,"manifest, seeable, visible, ostensible, seeming",,"inherent, errant, aberrant, transparent, parent","magnitude, parallax, totality, contradiction, brightness"
apparently,adverb,b2,according to what you have heard or read; according to the way something appears,Apparently they are getting divorced soon.,"patently, manifestly, obviously, plainly, evidently",,"inherently, transparently, farantly","unaware, suicide"
appeal,noun,b2,"a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police","appeal for something, to launch a TV appeal for donations to the charity","solicitation, entreaty, invoke, collection, prayer","repel, repulse","deal, seal, wheel, feel, steel","appellate, upheld, appeals, conviction, overturned"
appeal,verb,b2,"to make a deeply felt request, especially for something that is needed immediately",I am appealing (= asking for money) on behalf of the famine victims.,"solicitation, entreaty, invoke, collection, prayer","repel, repulse","deal, seal, wheel, feel, steel","appellate, upheld, appeals, conviction, overturned"
appear,verb,a2,to start to be seen,Three days later a rash appeared.,"seem, come along, look, come out, appearance","disappear, vanish, go away","clear, tear, gear, peer, sheer",ballot
appearance,noun,a2,the way that somebody/something looks on the outside; what somebody/something seems to be,the physical/outward/external appearance of something,"appearing, show, coming into court, visual aspect, apparition","disappearance, disappearing","perseverance, clearance, interference, adherence, coherence","substitute, episode, appearances, innings, bowl"
apple,noun,a1,a round fruit with shiny red or green skin that is fairly hard and white inside,Peel and core the apples.,"malus pumila, orchard apple tree, pomme, potato, tator",,"grapple, pineapple, chapel, appal, snapple","macintosh, ipod, cider, iphone, ipad"
application,noun,b1,"a formal (often written) request for something, such as a job, permission to do something or a place at a college or university",a planning/patent/visa application,"diligence, covering, application program, coating, lotion",,"communication, information, operation, education, implication","applicant, api, server, ios, iphone"
apply,verb,a2,"to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc.",You should apply in person/by letter.,"utilise, use, utilize, give, practice","free, defy, refuse, relieve, exempt","lie, i, by, fly, eye","farmstead, rebate, exceed, vending, levied"
